topic,source,num_sentences,the_freq,avg_sentence_length,avg_word_length,the_location
Communication,wiki,140,0.07060810810810811,21.142857142857142,5.785775403018026,2.085714285714286
Communication,simple_wiki,15,0.09345794392523364,14.266666666666667,4.950391214965518,NA
Electronics,wiki,83,0.05994897959183673,18.89156626506024,5.790857851514993,1.072289156626506
Electronics,simple_wiki,48,0.07700770077007701,18.9375,5.363648259932043,1.0208333333333333
Engineering,wiki,176,0.08695652173913043,22.21590909090909,5.768585504746787,1.0568181818181819
Engineering,simple_wiki,33,0.05566218809980806,15.787878787878787,5.263792220317528,1.121212121212121
Farming,wiki,88,0.07135627530364372,22.454545454545453,5.047516496406488,2.4545454545454546
Farming,simple_wiki,48,0.08904109589041095,15.208333333333334,4.993061174998094,NA
Health,wiki,147,0.06880466472303207,23.333333333333332,5.642210199845781,1.0408163265306123
Health,simple_wiki,27,0.05122950819672131,18.074074074074073,4.8727699792913075,2.7037037037037037
Transport,wiki,207,0.06222000995520159,19.41062801932367,5.490694331288905,1.4057971014492754
Transport,simple_wiki,28,0.056962025316455694,11.285714285714286,5.8075794446226,2.9285714285714284
Geography,wiki,123,0.09484066767830046,21.43089430894309,5.625080258590262,2.6910569105691056
Geography,simple_wiki,17,0.09251101321585903,13.352941176470589,5.188019333607569,1.0588235294117647
Education,wiki,257,0.0747478386167147,21.603112840466927,5.734818212721351,1.0428015564202335
Education,simple_wiki,24,0.04580152671755725,16.375,5.533518987498283,NA
History,wiki,245,0.09622815087396504,22.183673469387756,5.4767894843393785,1.236734693877551
History,simple_wiki,15,0.07851239669421488,16.133333333333333,5.258438227642529,1.2
Language,wiki,487,0.08950086058519793,25.053388090349078,5.405175152517954,1.0328542094455853
Language,simple_wiki,32,0.08884297520661157,15.125,5.159156589911112,1.0625
Psychology,wiki,550,0.08035945735764279,21.041818181818183,6.004865199053747,1.0345454545454544
Psychology,simple_wiki,46,0.09505703422053231,17.152173913043477,5.213449879364214,1.065217391304348
Sociology,wiki,485,0.0899896265560166,23.851546391752578,5.808465830286732,1.0474226804123712
Sociology,simple_wiki,35,0.0641025641025641,13.371428571428572,5.353282569438032,1.0285714285714285
Art,wiki,295,0.09439252336448598,25.389830508474578,5.141076230609335,2.6576271186440676
Art,simple_wiki,37,0.09905660377358491,17.18918918918919,5.091204349496179,NA
Book,wiki,299,0.08239448461409114,19.889632107023413,5.0147314139024894,2.729096989966555
Book,simple_wiki,53,0.09058402860548272,15.830188679245284,4.858923780254814,2.3773584905660377
Cooking,wiki,148,0.05925925925925926,20.97972972972973,5.361102287364655,1.1418918918918919
Cooking,simple_wiki,26,0.0581039755351682,12.576923076923077,3.8685339672896233,NA
Culture,wiki,161,0.07918968692449356,23.608695652173914,5.663249085504789,NA
Culture,simple_wiki,29,0.0958904109589041,15.10344827586207,5.332910950189416,2.3448275862068964
Dance,wiki,152,0.06831214161057093,26.388157894736842,5.39875454447746,NA
Dance,simple_wiki,60,0.08713692946058091,12.05,4.56797176395813,NA
Gardening,wiki,135,0.07587198849334771,20.6,5.351360442358289,1.0296296296296297
Gardening,simple_wiki,23,0.05714285714285714,13.695652173913043,4.799832964182136,1.1304347826086956
Movies,wiki,305,0.08739042481456508,24.311475409836067,5.201327633795215,1.5770491803278688
Movies,simple_wiki,51,0.10044843049327354,21.862745098039216,4.516748453023141,NA
Music,wiki,613,0.07757345170154302,23.153344208809134,5.322037807285466,NA
Music,simple_wiki,193,0.08966565349544073,17.046632124352332,4.792062000990926,2.378238341968912
Radio,wiki,268,0.07273716669689824,20.57089552238806,5.343752437906131,1.0261194029850746
Radio,simple_wiki,41,0.06949152542372881,14.390243902439025,5.233292240862574,2.975609756097561
Theater,wiki,229,0.11962166172106825,23.54585152838428,5.352049495087552,1.0
Theater,simple_wiki,61,0.11625514403292181,15.934426229508198,4.900970103379596,1.0
Television,wiki,549,0.07176491105685386,20.88888888888889,5.32845441898637,NA
Television,simple_wiki,29,0.04843304843304843,12.10344827586207,4.797021277045058,NA
Chemistry,wiki,239,0.0937037037037037,22.594142259414227,5.388596876451459,1.9246861924686192
Chemistry,simple_wiki,96,0.06374501992031872,10.458333333333334,4.861943102171802,2.96875
Computer_science,wiki,146,0.08530106257378985,23.205479452054796,5.84496095476029,1.2465753424657535
Computer_science,simple_wiki,33,0.09307359307359307,14.0,4.680935744266457,1.5454545454545454
